	proteinID	n_peptides	protein_log2_fc_position_aware	protein_se	protein_z	protein_pval	position_intercept	position_intercept_se	position_slope	position_slope_se	position_pval	mean_relative_position	median_relative_position	n_term_fc	c_term_fc	delta_c_minus_n	model_type	protein_fdr	position_fdr	direction	position_trend	abs_log2_fc
37	Q09073	8	1.8336229645290754	0.18942310291213765	9.680038687675738	3.6657724604196637e-22	1.559624094323238	0.45701010479060533	0.6174927002732743	0.848555644913029	0.46679814690436316	0.4406459731543624	0.4379194630872483	1.4163619819287578	1.8442263941889978	0.42786441226023997	weighted_position_regression	8.06469941292326e-21	0.6763314572132542	Higher in OPP	Stronger toward C-terminus	1.8336229645290754
38	Q6IMY8	14	1.4469527251585441	0.1508953443466642	9.58911443837751	8.884426329328516e-22	2.4384681622989963	0.30778943362651934	-1.9424511397842483	0.5526461771263526	0.00044005423487448065	0.4839778016469746	0.5792606516290727	1.9606675344540574	0.9852257731951601	-0.9754417612588973	weighted_position_regression	1.904456515722728e-20	0.0031443191483338955	Higher in OPP	Stronger toward N-terminus	1.4469527251585441
39	P28037	27	-1.0511616608605496	0.1097286893333294	-9.579642910591714	9.738103610564362e-22	-0.5152831579533003	0.22957777811331043	-1.1542096292761461	0.4174679468928201	0.005696011087090588	0.4820563357148722	0.4318181818181818	-0.6121326336811648	-1.578888306503852	-0.9667556728226872	weighted_position_regression	2.0352636546079516e-20	0.025879702547868106	Higher in DMSO	Stronger toward N-terminus	1.0511616608605496
40	P81377	7	2.0031238829570874	0.21128645328567897	9.480607259986883	2.528075163005315e-21	1.9691425059020797	0.3024233630782073	0.10167697083449805	0.6173482605678114	0.8691804837821403	0.39463817022872144	0.21391076115485563	1.951309787135406	2.1073545711990587	0.15604478406365274	weighted_position_regression	5.154806917737667e-20	0.9338057655565607	Higher in OPP	Stronger toward C-terminus	2.0031238829570874
41	A0A8L2Q6N7	4	2.622156502464542	0.280010947857966	9.364478505299786	7.642676809212371e-21	1.8734559352445797	0.5081455714091528	4.662141901500204	3.0300439853796792	0.12389260877071716	0.16338315217391303	0.16745923913043478	2.622156502464542			weighted_position_regression	1.5212566220241767e-19	0.2814516873160857	Higher in OPP	Stronger toward C-terminus	2.622156502464542
42	P36876	7	1.9544982403690463	0.20936607927696024	9.335314713438061	1.0069166336942369e-20	2.1408108555359266	0.5889364109205525	-0.42872458387970175	1.1852246505288238	0.7175580493091617	0.4055608820709492	0.36129753914988816	1.5487388543774665	1.403847881637887	-0.14489097273957952	weighted_position_regression	1.9576332692287956e-19	0.8574054240888558	Higher in OPP	Stronger toward N-terminus	1.9544982403690463
43	Q9JJ54	10	1.6399300660966756	0.17632453106504642	9.300634779466407	1.3960966465825968e-20	2.672365479266109	0.5065238483107315	-2.1534050124397774	1.011692525904047	0.03329421969695102	0.4753541076487252	0.46529745042492915	2.1236773413157426	1.2427100317403301	-0.8809673095754125	weighted_position_regression	2.652583628506934e-19	0.11089230146076116	Higher in OPP	Stronger toward N-terminus	1.6399300660966756
44	P17425	20	1.1749031311419182	0.12665585893408918	9.276342531878685	1.7539605853174262e-20	1.2100406711558689	0.37872328830479546	-0.07310922013089903	0.6631759974039985	0.9122182052593747	0.48850961538461535	0.5240384615384616	1.0457906046363377	1.1052089792156365	0.05941837457929888	weighted_position_regression	3.2584689985008183e-19	0.9518233780643991	Higher in OPP	Stronger toward N-terminus	1.1749031311419182
45	A0A8L2QEN5	46	-0.747467763794354	0.08067129508369231	-9.265597670384425	1.9398781657592868e-20	-0.42890081106341493	0.11399810161428256	-0.7614698516733965	0.236244325096387	0.001267536277133361	0.41104118993135014	0.43737816764132553	-0.5112757061399972	-0.907935649274897	-0.39665994313489983	weighted_position_regression	3.5255177099451385e-19	0.007462396673827394	Higher in DMSO	Stronger toward N-terminus	0.747467763794354
46	G3V6S0	74	-0.6348714361284549	0.06864235815831664	-9.248974731669158	2.2665627553867098e-20	1.013715786607728	0.1535071561915884	-3.660015891150637	0.2916572659126335	4.024072803846529e-36	0.45224805846896404	0.4503808717731697	0.5300765535351621	-1.6685808844545698	-2.198657437989732	weighted_position_regression	4.0315882202197645e-19	1.8689582577864988e-34	Higher in DMSO	Stronger toward N-terminus	0.6348714361284549
47	P37397	10	1.6891194755152195	0.18512425179206934	9.12424741309653	7.223639462512308e-20	2.1430470552799354	0.5276298144297253	-1.0830789763536142	1.0853428368893774	0.3183209890791895	0.44333333333333336	0.45984848484848484	1.8594191812212584	0.7769805419862038	-1.0824386392350545	weighted_position_regression	1.2581172063875604e-18	0.5343701744381574	Higher in OPP	Stronger toward N-terminus	1.6891194755152195
48	G3V8T4	25	1.0047420646706489	0.11147830836008193	9.012892996413875	2.0069105903196637e-19	2.0753973124002805	0.31229902063494824	-2.4302726552070046	0.6127375218598261	7.301105212610886e-05	0.44183406113537127	0.5021834061135371	1.4253937271975718	-0.09317401941561437	-1.5185677466131862	weighted_position_regression	3.424035211239263e-18	0.0006165377735093638	Higher in OPP	Stronger toward N-terminus	1.0047420646706489
49	F1LRI5	10	-1.5560968008708616	0.17679952303414717	-8.801476237977838	1.350280362093834e-18	-0.7515970092793223	0.45936294252164434	-1.5310635153058447	0.7648633478478912	0.04531186385212368	0.5376825159116436	0.4960688880569075	-1.0753769644518323	-1.9940541644832994	-0.9186772000314671	weighted_position_regression	2.2576687654208906e-17	0.13825079627874232	Higher in DMSO	Stronger toward N-terminus	1.5560968008708616
50	A0A8L2QPR2	25	0.955994581279237	0.10964259059343827	8.719190016442843	2.801989925141875e-18	2.422893315150976	0.4380759871155501	-2.50483645228374	0.6934815244896351	0.0003038763635840907	0.6025067628494138	0.612263300270514	2.062253902157156	0.4523286483901033	-1.609925253767053	weighted_position_regression	4.593065838075701e-17	0.0022682199996098195	Higher in OPP	Stronger toward N-terminus	0.955994581279237
51	A0A8J8XYP8	7	1.6773045429419002	0.19276204001610484	8.701425564918098	3.2774072611799562e-18	2.062868690693639	0.1625531196988565	-0.9590469800759013	0.3784640476157175	0.01127525058724434	0.400925925925926	0.46296296296296297	1.8512109422399827			weighted_position_regression	5.2690624429739296e-17	0.04488623567112509	Higher in OPP	Stronger toward N-terminus	1.6773045429419002
52	A0A8I6AH91	8	1.64081147915605	0.18934811182611377	8.665581416850225	4.4921454378834825e-18	1.9695825596148424	0.34428553953767344	-0.635737662755797	0.5635955423380263	0.25931850214608	0.507373595505618	0.40308988764044945	1.7061768349841873	1.2791245438639136	-0.42705229112027365	weighted_position_regression	7.085723747303003e-17	0.46720436540304594	Higher in OPP	Stronger toward N-terminus	1.64081147915605
53	A0A0G2KA85	6	1.8540633850518415	0.2141797111715833	8.656578043316705	4.861382392740408e-18	3.095210332119696	0.2489497701565231	-3.6066778970616316	0.5742809913200501	3.378409047146459e-10	0.3576642335766424	0.32992700729927005	2.7692388799552914	0.7935961486870049	-1.9756427312682865	weighted_position_regression	7.526140148761076e-17	7.84541656504011e-09	Higher in OPP	Stronger toward N-terminus	1.8540633850518415
54	Q3B8Q0	8	1.5692278625218372	0.1858811034016341	8.442105377065682	3.116721794281041e-17	2.613496661555231	1.093463680150006	-1.9129807187032373	1.9254985357922623	0.3204668757852499	0.5488880368098159	0.5038343558282209		1.007741262558128		weighted_position_regression	4.737417127307182e-16	0.5358206163129379	Higher in OPP	Stronger toward N-terminus	1.5692278625218372
55	P63036	4	2.1299996583384084	0.25423978408974335	8.377916406609856	5.3872884345933014e-17	2.304980076388344	0.5809025507390823	-0.45645507282546177	1.1891051161493151	0.7010789839801012	0.3822418136020151	0.3816120906801007	2.254213683308261	2.3997951810016644	0.14558149769340334	weighted_position_regression	8.042452020214285e-16	0.850239422859427	Higher in OPP	Stronger toward N-terminus	2.1299996583384084
56	A0A8I6G8C4	53	-0.6547898315382374	0.07819265296491457	-8.374058261356664	5.566721595265963e-17	0.592163552807437	0.19593726827184327	-2.2236219350933695	0.31028336667006035	7.698252111743614e-13	0.555071225787001	0.5489347536617842	0.25278199000612916	-1.1933830514965837	-1.446165041502713	weighted_position_regression	8.16452500639008e-16	2.0761112426558078e-11	Higher in DMSO	Stronger toward N-terminus	0.6547898315382374
57	A0A8I6A0W6	5	2.12713908931404	0.25501006474013554	8.341392687703017	7.342063859679571e-17	2.9807711563187254	0.23222217732451617	-3.5240970321784877	0.7909216197426651	8.362602403254377e-06	0.23749031758326877	0.21572424477149496	2.4638715570541168			weighted_position_regression	1.0582698942572622e-15	8.738919511400824e-05	Higher in OPP	Stronger toward N-terminus	2.12713908931404
